Season,Team,Result,1-3 F Avg Game Score,4-6 F Avg Game Score,7-9 F Avg Game Score,9-12 F Avg Game Score,1-2 D Avg Game Score,3-4 D Avg Game Score,5-6 D Avg Game Score,Starting Goalie Avg GSAx
2025-2026,ANA,1,0.9265496514038062,0.8551350877192982,0.5165159891598916,0.21743225806451613,0.8869890072140157,0.46098173515981733,0.3611665357423409,-0.05214285714285692
2025-2026,BOS,0,0.8265163946806459,0.5717741869184673,0.5014317542949569,0.318638739309471,0.6086459009301319,0.22887686387686387,0.29077700426678643,0.5232727272727273
2025-2026,BUF,1,0.8230661040787624,0.6677004377736084,0.5142995017046945,0.1960775289314102,0.7365925740925741,0.4663783498946101,0.12213421052631579,0.3508333333333332
2025-2026,CGY,-1,0.5802351832213973,0.4649275067750677,0.47225070286045895,0.22212416793362824,0.17012820512820512,0.24645042839657283,0.21343702865761688,-0.031228070175438615
2025-2026,CAR,4,1.1581291971236702,0.9090784101174346,0.7756669071669072,0.4810757765792884,0.8850308641975309,0.8499116161616161,0.6294929453262786,0.07128205128205131
2025-2026,CHI,-1,0.6328270487682253,0.2758461356092935,0.26483723723723723,0.1844822873166697,0.10670454545454547,0.1343128696141932,0.17845110771581357,0.20185185185185195
2025-2026,COL,2,1.4320648939537828,0.8450133477633477,0.5403527796088772,0.49574239893083866,0.9829549019607844,0.4436629444607699,0.7877392713800556,0.5137777777777779
2025-2026,CBJ,-1,0.8065650406504066,0.5311294337164263,0.5124569018900639,0.3405775877602503,0.865780487804878,0.5572910798122066,0.11005067567567567,0.2992727272727274
2025-2026,DAL,0,0.9737728658536587,0.4951205151200755,0.4134285952619286,0.19117387338076994,0.5893261007285397,0.281674168297456,0.07022536687631027,0.10592592592592591
2025-2026,DET,-1,0.9431805097780708,0.5198513299510474,0.37148439997220484,0.22475097934472932,0.6645460704607046,0.27164946841776105,0.18245695839311332,0.20578947368421036
2025-2026,EDM,0,1.326614241659658,0.5003068207959512,0.4312126328955597,0.11884770015917556,0.7870731707317072,0.43788871951219516,0.17610479797979797,-0.125151515151515
2025-2026,FLA,-1,0.801266447368421,0.6401843243117811,0.4421177756794195,0.1376603440299449,0.5510336538461538,0.35432598039215685,0.22794973544973546,-0.23365384615384627
2025-2026,LAK,0,0.9293328084115706,0.7272247213410301,0.41177244439036703,0.2382481933105267,0.4140138888888889,0.5705487804878049,0.2253658536585366,-0.11540000000000021
